order_id,order_date,status,customer_id,customer_name,customer_phone,customer_email,city,district,delivery_type,delivery_cost,payment_method,payment_status,payment_amount,currency,total_amount,items_json
طلب-100016,2025-03-24T14:18:00,مؤكد,عميل-16,علي حسين,778513268,user100791@@example.com,لحج,الحصبة,عادي,2000.0,نقدًا عند التسليم,بانتظار الدفع,26000.0,YER,26000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":12000.0,""total"":24000.0}]"
طلب-100017,17-01-2025 04:50:00,ملغي,عميل-17,محمد علي,705330249,user951777@example.com,عدن,حدة,عادي,2000.0,محفظة إلكترونية,بانتظار الدفع,132500.0,YER,132500.0,"[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":3,""unit_price"":43500.0,""total"":130500.0}]"
طلب-100018,2025-01-08T02:28:00,قيد الانتظار,عميل-18,خالد سالم,774728148,user677089@example.com,عدن,القاهرة,عادي,2000.0,بطاقة,بانتظار الدفع,50000.0,YER,50000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":2,""unit_price"":12500.0,""total"":25000.0},{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":1,""unit_price"":23000.0,""total"":23000.0}]"
طلب-100019,2025-03-23T19:42:00,قيد الشحن,عميل-19,هدى سالم,774738046,user944171@example.com,تعز,خور مكسر,سريع,5000.0,بطاقة,بانتظار الدفع,13500.0,YER,13500.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":1,""unit_price"":8500.0,""total"":8500.0}]"
طلب-100020,2025-03-03T23:33:00,قيد الشحن,عميل-20,أحمد محمد,711621977,user497131@example.com,ذمار,حدة,عادي,2000.0,نقدًا عند التسليم,بانتظار الدفع,290500.0,YER,290500.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":3,""unit_price"":""١٠٠٠٠٫٠"",""total"":30000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":62500.0,""total"":125000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":3,""unit_price"":44500.0,""total"":133500.0}]"
طلب-100021,2025-01-11T11:18:00,قيد الشحن,عميل-21,علي حسين,731502180,user256181@example.com,تعز,شعوب,عادي,2000.0,بطاقة,تم الدفع,٢٩٤٠٠٠٫٠,YER,294000.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":143000.0,""total"":286000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":1,""unit_price"":6000.0,""total"":6000.0}]"
طلب-100022,2025-01-07T02:10:00,مرتجع,عميل-22,أروى محمد,732705082,user395488@example.com,لحج,جبلة,عادي,٢٠٠٠٫٠,بطاقة,تم الدفع,144500.0,YER,144500.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":3,""unit_price"":47500.0,""total"":142500.0}]"
طلب-100023,2025-04-29T14:12:00,ملغي,عميل-23,علي حسين,705997352,user781485@example.com,عدن,حدة,سريع,5000.0,محفظة إلكترونية,تم الدفع,602000.0,YER,602000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":189500.0,""total"":568500.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":6000.0,""total"":12000.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":3,""unit_price"":5500.0,""total"":16500.0}]"
طلب-100024,2025-04-03T05:17:00,قيد الشحن,عميل-24,سارة ياسر,708522453,user62781@example.com,حجة,كريتر,عادي,2000.0,محفظة إلكترونية,تم الدفع,322500.0,YER,322500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":1,""unit_price"":224000.0,""total"":224000.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":1,""unit_price"":6500.0,""total"":6500.0},{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":2,""unit_price"":45000.0,""total"":90000.0}]"
طلب-100025,2025-02-21T03:58:00,تم التسليم,عميل-25,فاطمة أحمد,707645202,user823222@example.com,حجة,كريتر,عادي,2000.0,محفظة إلكترونية,تم الدفع,130000.0,YER,130000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":11500.0,""total"":23000.0},{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":3,""unit_price"":35000.0,""total"":105000.0}]"
طلب-100026,2025-01-23T18:28:00,تم التسليم,عميل-26,هدى سالم,713058225,user73458@example.com,الحديدة,حدة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,226500.0,YER,226500.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":90000.0,""total"":180000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":3,""unit_price"":9500.0,""total"":28500.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":6500.0,""total"":13000.0}]"
طلب-100027,2025-04-26T03:59:00,ملغي,عميل-27,أحمد محمد,702546444,user759903@example.com,صنعاء,حدة,عادي,2000.0,بطاقة,تم الدفع,776500.0,YER,776500.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":1,""unit_price"":6500.0,""total"":6500.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":256000.0,""total"":768000.0}]"
طلب-100013,2025-04-06T16:54:00,تم التسليم,عميل-28,محمد علي,734577257,user558291@example.com,عدن,التحرير,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,668000.0,YER,668000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":221000.0,""total"":663000.0}]"
طلب-100029,2025-03-08T21:13:00,قيد الشحن,عميل-29,فاطمة أحمد,707141533,user436647@example.com,صنعاء,حدة,عادي,2000.0,محفظة إلكترونية,بانتظار الدفع,54000.00 ريال,YER,54000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":1,""unit_price"":13500.0,""total"":13500.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":1,""unit_price"":11500.0,""total"":11500.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":3,""unit_price"":9000.0,""total"":27000.0}]"
طلب-100030,2025-02-07T13:29:00,قيد الانتظار,عميل-30,فاطمة أحمد,735657367,user694364@example.com,حجة,حدة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,107000.0,YER,107000.0,"[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":3,""unit_price"":34000.0,""total"":102000.0}]"
طلب-100031,2025-01-08T08:11:00,تم التسليم,عميل-31,ريم عادل,700797617,user755901@example.com,حجة,القاهرة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,594500.0,YER,594500.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":3,""unit_price"":5500.0,""total"":16500.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":191000.0,""total"":573000.0}]"
طلب-100032,2025-01-09T01:36:00,مؤكد,عميل-32,يوسف طارق,709598591,user601359@example.com,تعز,خور مكسر,سريع,5000.0,محفظة إلكترونية,بانتظار الدفع,261000.0,YER,261000.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":128000.0,""total"":256000.0}]"
طلب-100033,2025-01-01T09:42:00,مؤكد,عميل-33,محمد علي,772176222,user892203@example.com,عمران,القاهرة,عادي,2000.0,بطاقة,تم الدفع,16500.0,YER,16500.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":1,""unit_price"":6500.0,""total"":6500.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":4000.0,""total"":8000.0}]"
طلب-100034,2025-03-23T16:25:00,ملغي,عميل-34,خالد سالم,774974510,user306743@@example.com,الحديدة,كريتر,سريع,5000.0,بطاقة,تم الدفع,41000.0,YER,41000.0,"[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":3,""unit_price"":12000.0,""total"":36000.0}]"
طلب-100035,2025-03-16T16:34:00,مؤكد,عميل-35,أحمد محمد,733930387,user118615@example.com,عدن,حدة,سريع,5000.0,محفظة إلكترونية,تم الدفع,17000.0,YER,17000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":6000.0,""total"":12000.0}]"
طلب-100036,2025-04-08T15:18:00,قيد الشحن,عميل-36,خالد سالم,730183013,user922037@example.com,الحديدة,التحرير,عادي,2000.0,بطاقة,بانتظار الدفع,352000.0,ريال يمني,352000.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":175000.0,""total"":350000.0}]"
طلب-100037,2025-02-02T16:29:00,قيد الانتظار,عميل-37,ريم عادل,714537618,user14711@example.com,ذمار,جبلة,سريع,5000.0,محفظة إلكترونية,بانتظار الدفع,916000.0,YER,916000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":215500.0,""total"":646500.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":3,""unit_price"":84500.0,""total"":253500.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":5500.0,""total"":11000.0}]"
طلب-100038,2025-04-17T14:54:00,تم التسليم,عميل-38,أروى محمد,738590865,user461356@example.com,إب,شعوب,سريع,5000.0,بطاقة,بانتظار الدفع,405000.0,YER,405000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":10500.0,""total"":21000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":164000.0,""total"":328000.0},{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":2,""unit_price"":25500.0,""total"":51000.0}]"
100039,2025-03-03T15:02:00,تم التسليم,عميل-39,هدى سالم,707770160,user528572@example.com,عدن,القاهرة,سريع,5000.0,بطاقة,تم الدفع,97000.0,YER,97000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":6500.0,""total"":13000.0},{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":2,""unit_price"":35000.0,""total"":70000.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":4500.0,""total"":9000.0}]"
طلب-100040,2025-03-27T22:38:00,ملغي,عميل-40,علي حسين,702347604,user444800@example.com,إب,شعوب,عادي,2000.0,محفظة إلكترونية,بانتظار الدفع,11000.0,YER,11000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":1,""unit_price"":9000.0,""total"":9000.0}]"
طلب-100041,2025-02-09T19:07:00,مؤكد,عميل-41,محمد علي,701422100,user393888@@example.com,المكلا,الحصبة,سريع,5000.0,بطاقة,بانتظار الدفع,49000.0,YER,49000.0,"[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":1,""unit_price"":44000.0,""total"":44000.0}]"
طلب-100042,2025-02-07T13:14:00,مرتجع,عميل-42,أروى محمد,703399689,user187765@example.com,عدن,شعوب,عادي,2000.0,بطاقة,بانتظار الدفع,1303500.0,YER,1303500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":243000.0,""total"":729000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":1,""unit_price"":109500.0,""total"":109500.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":231500.0,""total"":463000.0}]"
طلب-100043,2025-03-16T12:43:00,ملغي,عميل-43,سارة ياسر,778593535,user70457@example.com,المكلا,كريتر,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,41000.0,YER,41000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":3,""unit_price"":12000.0,""total"":36000.0}]"
طلب-100044,2025-03-14T15:30:00,مؤكد,عميل-44,أحمد محمد,709658965,user456781@example.com,المكلا,جبلة,سريع,5000.0,محفظة إلكترونية,بانتظار الدفع,148000.0,YER,148000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":1,""unit_price"":10000.0,""total"":10000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":66500.0,""total"":133000.0}]"
طلب-100045,2025-04-29T00:11:00,قيد الانتظار,عميل-45,سارة ياسر,718434319,user11795@example.com,عدن,القاهرة,سريع,٥٠٠٠٫٠,بطاقة,بانتظار الدفع,422000.0,YER,422000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":3,""unit_price"":14000.0,""total"":42000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":3,""unit_price"":125000.0,""total"":375000.0}]"
طلب-100046,2025-04-16T14:48:00,قيد الانتظار,عميل-46,هدى سالم,779793603,user740952@example.com,عدن,شعوب,عادي,2000.0,نقدًا عند التسليم,بانتظار الدفع,18000.0,YER,18000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":8000.0,""total"":16000.0}]"
طلب-100047,17-03-2025 01:27:00,قيد الشحن,عميل-47,أحمد محمد,712366206,user452921@example.com,عدن,التحرير,عادي,2000.0,بطاقة,تم الدفع,50000.0,YER,50000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":3,""unit_price"":9000.0,""total"":27000.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":1,""unit_price"":10000.0,""total"":10000.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":2,""unit_price"":5500.0,""total"":11000.0}]"
  طلب-100048  ,2025-01-10T14:10:00,قيد الانتظار,عميل-48,محمد علي,736634651,user16270@example.com,عدن,القاهرة,عادي,2000.0,نقدًا عند التسليم,بانتظار الدفع,56000.0,YER,56000.0,"[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":2,""unit_price"":17500.0,""total"":35000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":9500.0,""total"":19000.0}]"
طلب-100049,2025-03-20T06:04:00,مؤكد,عميل-49,محمد علي,734003190,user820873@example.com,إب,جبلة,سريع,5000.0,محفظة إلكترونية,بانتظار الدفع,198000.0,YER,198000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":9500.0,""total"":19000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":1,""unit_price"":174000.0,""total"":174000.0}]"
طلب-100050,2025-04-06T14:40:00,قيد الشحن,عميل-50,أحمد محمد,771029469,user541966@example.com,حجة,القاهرة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,32000.0,YER,32000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":""٢"",""unit_price"":13500.0,""total"":27000.0}]"
طلب-100051,2025-02-19T18:14:00,قيد الشحن,عميل-51,أروى محمد,706027723,user457879@example.com,صنعاء,التحرير,عادي,ألفان,محفظة إلكترونية,بانتظار الدفع,20000.0,YER,20000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":9000.0,""total"":18000.0}]"
طلب-100052,2025-04-24T13:23:00,قيد الانتظار,عميل-52,محمد علي,736816794,user611427@example.com,المكلا,التحرير,عادي,2000.0,نقدًا عند التسليم,بانتظار الدفع,317000.0,YER,317000.0,"[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":2,""unit_price"":41500.0,""total"":83000.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":1,""unit_price"":11000.0,""total"":11000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":110500.0,""total"":221000.0}]"
طلب-100053,2025-01-29T13:26:00,ملغي,عميل-53,ريم عادل,730082545,user161612@example.com,الحديدة,كريتر,عادي,2000.0,بطاقة,تم الدفع,24000.0,YER,24000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":5000.0,""total"":10000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":1,""unit_price"":12000.0,""total"":12000.0}]"
طلب-100054,2025-03-23T05:06:00,مرتجع,عميل-54,ريم عادل,711839852,user751813@example.com,عدن,القاهرة,عادي,2000.0,محفظة إلكترونية,تم الدفع,1174000.0,YER,1174000.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":3,""unit_price"":69000.0,""total"":207000.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":1,""unit_price"":212000.0,""total"":212000.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":251000.0,""total"":753000.0}]"
طلب-100055,2025-02-01T09:54:00,تم التسليم,عميل-55,يوسف طارق,707715106,user100672@example.com,ذمار,حدة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,24000.0,YER,24000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":9500.0,""total"":19000.0}]"
طلب-100056,2025-04-30T09:49:00,مرتجع,عميل-56,أحمد محمد,704065600,user888386@example.com,المكلا,التحرير,سريع,5000.0,محفظة إلكترونية,بانتظار الدفع,54000.0,YER,54000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":""٢"",""unit_price"":8000.0,""total"":16000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":3,""unit_price"":11000.0,""total"":33000.0}]"
طلب-100057,2025-03-03T03:34:00,تم التسليم,عميل-57,فاطمة أحمد,706492658,user404326@example.com,ذمار,القاهرة,عادي,ألفان,محفظة إلكترونية,بانتظار الدفع,617000.0,YER,617000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":198500.0,""total"":595500.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":1,""unit_price"":8500.0,""total"":8500.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":2,""unit_price"":5500.0,""total"":11000.0}]"
طلب-100058,2025-02-02T04:53:00,مرتجع,عميل-58,سارة ياسر,707074191,user125385@example.com,المكلا,القاهرة,عادي,2000.0,بطاقة,تم الدفع,689500.0,YER,689500.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":1,""unit_price"":53000.0,""total"":53000.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":211500.0,""total"":634500.0}]"
طلب-100059,2025-04-09T22:17:00,مؤكد,عميل-59,أروى محمد,710567615,user349012@example.com,تعز,الحصبة,سريع,5000.0,بطاقة,بانتظار الدفع,24000.0,YER,24000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":2,""unit_price"":9500.0,""total"":19000.0}]"
طلب-100060,2025-01-10T22:50:00,قيد الشحن,عميل-60,هدى سالم,772872172,user523451@example.com,عدن,جبلة,عادي,2000.0,بطاقة,بانتظار الدفع,1421000.0,YER,1421000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":224500.0,""total"":673500.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":3,""unit_price"":9500.0,""total"":28500.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":239000.0,""total"":717000.0}]"
طلب-100061,2025-03-20T15:30:00,قيد الانتظار,عميل-61,خالد سالم,701784876,user118969@example.com,صنعاء,الحصبة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,9500.0,YER,9500.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":1,""unit_price"":4500.0,""total"":4500.0}]"
طلب-100047,2025-03-12T05:13:00,مرتجع,عميل-62,علي حسين,778230192,user814347@example.com,حجة,التحرير,سريع,5000.0,محفظة إلكترونية,بانتظار الدفع,144500.0,YER,144500.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":1,""unit_price"":139500.0,""total"":139500.0}]"
طلب-100063,2025-02-15T19:33:00,تم التسليم,عميل-63,يوسف طارق,775764375,user975324@example.com,تعز,التحرير,عادي,2000.0,محفظة إلكترونية,تم الدفع,144500.0,YER,144500.0,"[{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":3,""unit_price"":47500.0,""total"":142500.0}]"
